[Tue Feb 16 17:06:03.423764 2016] [:error] [pid 5959] [client 127.0.0.1:53132] XDebug could not open the remote debug file '/tmp/xdebug.log'.
[Tue Feb 16 17:06:03.542354 2016] [:error] [pid 5959] [client 127.0.0.1:53132] XDebug could not open the remote debug file '/tmp/xdebug.log'.
[Tue Feb 16 17:06:03.542834 2016] [:error] [pid 5959] [client 127.0.0.1:53132] XDebug could not open the remote debug file '/tmp/xdebug.log'.
[Tue Feb 16 17:06:03.542964 2016] [:error] [pid 5959] [client 127.0.0.1:53132] XDebug could not open the remote debug file '/tmp/xdebug.log'.
[Tue Feb 16 17:06:03.543023 2016] [:error] [pid 5959] [client 127.0.0.1:53132] XDebug could not open the remote debug file '/tmp/xdebug.log'.
[Tue Feb 16 17:06:03.676494 2016] [:error] [pid 5962] [client 127.0.0.1:53139] XDebug could not open the remote debug file '/tmp/xdebug.log'., referer: http://wizerd.loc/
[Tue Feb 16 17:06:03.695941 2016] [:error] [pid 5962] [client 127.0.0.1:53139] XDebug could not open the remote debug file '/tmp/xdebug.log'., referer: http://wizerd.loc/
[Tue Feb 16 17:06:03.696088 2016] [:error] [pid 5962] [client 127.0.0.1:53139] XDebug could not open the remote debug file '/tmp/xdebug.log'., referer: http://wizerd.loc/
[Tue Feb 16 17:06:03.696163 2016] [:error] [pid 5962] [client 127.0.0.1:53139] XDebug could not open the remote debug file '/tmp/xdebug.log'., referer: http://wizerd.loc/
[Tue Feb 16 17:06:39.905668 2016] [:error] [pid 6200] [client 127.0.0.1:53151] XDebug could not open the remote debug file '/tmp/xdebug.log'., referer: http://wizerd.loc/
[Tue Feb 16 17:06:39.917097 2016] [:error] [pid 6201] [client 127.0.0.1:53154] XDebug could not open the remote debug file '/tmp/xdebug.log'., referer: http://wizerd.loc/
[Tue Feb 16 17:06:39.936725 2016] [:error] [pid 6200] [client 127.0.0.1:53151] XDebug could not open the remote debug file '/tmp/xdebug.log'., referer: http://wizerd.loc/
[Tue Feb 16 17:06:39.936874 2016] [:error] [pid 6200] [client 127.0.0.1:53151] XDebug could not open the remote debug file '/tmp/xdebug.log'., referer: http://wizerd.loc/
[Tue Feb 16 17:06:39.936970 2016] [:error] [pid 6200] [client 127.0.0.1:53151] XDebug could not open the remote debug file '/tmp/xdebug.log'., referer: http://wizerd.loc/
[Tue Feb 16 17:06:39.937024 2016] [:error] [pid 6200] [client 127.0.0.1:53151] XDebug could not open the remote debug file '/tmp/xdebug.log'., referer: http://wizerd.loc/
[Tue Feb 16 17:06:39.952036 2016] [:error] [pid 6201] [client 127.0.0.1:53154] XDebug could not open the remote debug file '/tmp/xdebug.log'., referer: http://wizerd.loc/
